IATA_CODE,AIRPORT,CITY
CEC,Del Norte County AirportÂ (Jack McNamara Field),Crescent City
CHA,Chattanooga Metropolitan AirportÂ (Lovell Field),Chattanooga
CHO,Charlottesville-Albemarle Airport,Charlottesville
CHS,Charleston International Airport/Charleston AFB,Charleston
CID,The Eastern Iowa Airport,Cedar Rapids
CIU,Chippewa County International Airport,Sault Ste. Marie
CLD,McClellan-Palomar Airport,San Diego
CLE,Cleveland Hopkins International Airport,Cleveland
CLL,Easterwood Airport,College Station
CLT,Charlotte Douglas International Airport,Charlotte
CMH,Port Columbus International Airport,Columbus
CMI,University of Illinois - Willard Airport,Champaign/Urbana
CMX,Houghton County Memorial Airport,Hancock
CNY,Canyonlands Field,Moab
COD,Yellowstone Regional Airport,Cody
COS,City of Colorado Springs Municipal Airport,Colorado Springs
COU,Columbia Regional Airport,Columbia
CPR,Natrona County International Airport,Casper
CRP,Corpus Christi International Airport,Corpus Christi
CRW,Yeager Airport,Charleston
CSG,Columbus Metropolitan Airport,Columbus
CVG,Cincinnati/Northern Kentucky International Airport,Covington
CWA,Central Wisconsin Airport,Mosinee
DAB,Daytona Beach International Airport,Daytona Beach
DAL,Dallas Love Field,Dallas
DAY,James M. Cox Dayton International Airport,Dayton
DBQ,Dubuque Regional Airport,Dubuque
DCA,Ronald Reagan Washington National Airport,Arlington
DEN,Denver International Airport,Denver
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth
DHN,Dothan Regional Airport,Dothan
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson
DLG,Dillingham Airport,Dillingham
DLH,Duluth International Airport,Duluth
DRO,Durango-La Plata County Airport,Durango
DSM,Des Moines International Airport,Des Moines
DTW,Detroit Metropolitan Airport,Detroit
DVL,Devils Lake Regional Airport,Devils Lake
EAU,Chippewa Valley Regional Airport,Eau Claire
ECP,Northwest Florida Beaches International Airport,Panama City
EGE,Eagle County Regional Airport,Eagle
EKO,Elko Regional Airport,Elko
ELM,Elmira/Corning Regional Airport,Elmira
ELP,El Paso International Airport,El Paso
ERI,Erie International Airport,Erie
ESC,Delta County Airport,Escanaba
EUG,Eugene AirportÂ (Mahlon Sweet Field),Eugene
EVV,Evansville Regional Airport,Evansville
EWN,Coastal Carolina Regional AirportÂ (Craven County Regional),New Bern
EWR,Newark Liberty International Airport,Newark
EYW,Key West International Airport,Key West
FAI,Fairbanks International Airport,Fairbanks
FAR,Hector International Airport,Fargo
FAT,Fresno Yosemite International Airport,Fresno
FAY,Fayetteville Regional Airport,Fayetteville
FCA,Glacier Park International Airport,Kalispell
FLG,Flagstaff Pulliam Airport,Flagstaff
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale
FNT,Bishop International Airport,Flint
FSD,Sioux Falls Regional Airport,Sioux Falls
FSM,Fort Smith Regional Airport,Fort Smith
FWA,Fort Wayne International Airport,Fort Wayne
GCC,Gillette-Campbell County Airport,Gillette
GCK,Garden City Regional Airport,Garden City
GEG,Spokane International Airport,Spokane
GFK,Grand Forks International Airport,Grand Forks
GGG,East Texas Regional Airport,Longview
GJT,Grand Junction Regional AirportÂ (Walker Field),Grand Junction
GNV,Gainesville Regional Airport,Gainesville
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi
GRB,Green Bay-Austin Straubel International Airport,Green Bay
GRI,Central Nebraska Regional Airport,Grand Island
GRK,Killeen-Fort Hood Regional Airport,Killeen
GRR,Gerald R. Ford International Airport,Grand Rapids
GSO,Piedmont Triad International Airport,Greensboro
GSP,Greenville-Spartanburg International Airport,Greer
GST,Gustavus Airport,Gustavus
GTF,Great Falls International Airport,Great Falls
GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point
GUC,Gunnison-Crested Butte Regional Airport,Gunnison
GUM,Guam International Airport,Agana
HDN,Yampa Valley AirportÂ (Yampa Valley Regional),Hayden
HIB,Range Regional AirportÂ (Chisholm-Hibbing Airport),Hibbing
HLN,Helena Regional Airport,Helena
HNL,Honolulu International Airport,Honolulu
HOB,Lea County Regional Airport,Hobbs
HOU,William P. Hobby Airport,Houston
HPN,Westchester County Airport,White Plains
HRL,Valley International Airport,Harlingen
HSV,Huntsville International Airport,Huntsville
HYA,Barnstable Municipal Airport,Hyannis
HYS,Hays Regional Airport,Hays
IAD,Washington Dulles International Airport,Chantilly
IAG,Niagara Falls International Airport,Niagara Falls
IAH,George Bush Intercontinental Airport,Houston
ICT,Wichita Dwight D. Eisenhower National AirportÂ (Wichita Mid-Continent Airport),Wichita
IDA,Idaho Falls Regional Airport,Idaho Falls
ILG,Wilmington Airport,Wilmington
ILM,Wilmington International Airport,Wilmington
IMT,Ford Airport,Iron Mountain/Kingsford
IND,Indianapolis International Airport,Indianapolis
INL,Falls International Airport,International Falls
ISN,Sloulin Field International Airport,Williston
ISP,Long Island MacArthur Airport,Islip
ITH,Ithaca Tompkins Regional Airport,Ithaca
ITO,Hilo International Airport,Hilo
JAC,Jackson Hole Airport,Jackson
JAN,Jackson-Evers International Airport,Jackson
JAX,Jacksonville International Airport,Jacksonville
JFK,John F. Kennedy International AirportÂ (New York International Airport),New York
JLN,Joplin Regional Airport,Joplin
JMS,Jamestown Regional Airport,Jamestown
JNU,Juneau International Airport,Juneau
KOA,Kona International Airport at Keahole,Kailua/Kona
KTN,Ketchikan International Airport,Ketchikan
LAN,Capital Region International AirportÂ ( Lansing Capital City),Lansing
LAR,Laramie Regional Airport,Laramie
LAS,McCarran International Airport,Las Vegas
LAW,Lawton-Fort Sill Regional Airport,Lawton
LAX,Los Angeles International Airport,Los Angeles
LBB,Lubbock Preston Smith International Airport,Lubbock
LBE,Arnold Palmer Regional Airport,Latrobe
LCH,Lake Charles Regional Airport,Lake Charles
LEX,Blue Grass Airport,Lexington
LFT,Lafayette Regional Airport,Lafayette
LGA,LaGuardia Airport (Marine Air Terminal),New York
LGB,Long Beach AirportÂ (Daugherty Field),Long Beach
LIH,Lihue Airport,Lihue
LIT,Bill and Hillary Clinton National AirportÂ (Adams Field),Little Rock
LNK,Lincoln AirportÂ (Lincoln Municipal),Lincoln
LRD,Laredo International Airport,Laredo
LSE,La Crosse Regional Airport,La Crosse
LWS,Lewiston-Nez Perce County Airport,Lewiston
MAF,Midland International Airport,Midland
MBS,MBS International Airport,Saginaw
MCI,Kansas City International Airport,Kansas City
MCO,Orlando International Airport,Orlando
MDT,Harrisburg International Airport,Harrisburg
MDW,Chicago Midway International Airport,Chicago
MEI,Meridian Regional Airport,Meridian
MEM,Memphis International Airport,Memphis
MFE,McAllen-Miller International AirportÂ (McAllen Miller International),McAllen
MFR,Rogue Valley International Airport,Medford
MGM,Montgomery Regional Airport,Montgomery
MHK,Manhattan Regional Airport,Manhattan
MHT,Manchester-Boston Regional Airport,Manchester
MIA,Miami International Airport,Miami
MKE,General Mitchell International Airport,Milwaukee
MKG,Muskegon County Airport,Muskegon
MLB,Melbourne International Airport,Melbourne
MLI,Quad City International Airport,Moline
MLU,Monroe Regional Airport,Monroe
MMH,Mammoth Yosemite Airport,Mammoth Lakes
MOB,Mobile Regional Airport,Mobile
MOT,Minot International Airport,Minot
MQT,Sawyer International Airport,Marquette
MRY,Monterey Regional AirportÂ (Monterey Peninsula Airport),Monterey
MSN,Dane County Regional Airport,Madison
MSO,Missoula International Airport,Missoula
MSP,Minneapolis-Saint Paul International Airport,Minneapolis
MSY,Louis Armstrong New Orleans International Airport,New Orleans
MTJ,Montrose Regional Airport,Montrose
MVY,Martha's Vineyard Airport,Marthas Vineyard
MYR,Myrtle Beach International Airport,Myrtle Beach
OAJ,Albert J. Ellis Airport,Jacksonville
OAK,Oakland International Airport,Oakland
OGG,Kahului Airport,Kahului
OKC,Will Rogers World Airport,Oklahoma City
OMA,Eppley Airfield,Omaha
OME,Nome Airport,Nome
ONT,Ontario International Airport,Ontario
ORD,Chicago O'Hare International Airport,Chicago
ORF,Norfolk International Airport,Norfolk
ORH,Worcester Regional Airport,Worcester
OTH,Southwest Oregon Regional AirportÂ (North Bend Municipal),North Bend
OTZ,Ralph Wien Memorial Airport,Kotzebue
PAH,Barkley Regional Airport,Paducah
PBG,Plattsburgh International Airport,Plattsburgh
PBI,Palm Beach International Airport,West Palm Beach
PDX,Portland International Airport,Portland
PHF,Newport News/Williamsburg International Airport,Newport News
PHL,Philadelphia International Airport,Philadelphia
PHX,Phoenix Sky Harbor International Airport,Phoenix
PIA,General Wayne A. Downing Peoria International Airport,Peoria
PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel
PIH,Pocatello Regional Airport,Pocatello
PIT,Pittsburgh International Airport,Pittsburgh
PLN,Pellston Regional Airport of Emmet County,Pellston
PNS,Pensacola International AirportÂ (Pensacola Gulf Coast Regional Airport),Pensacola
PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago
PSC,Tri-Cities Airport,Pasco
PSE,Mercedita Airport,Ponce
PSG,Petersburg James A. Johnson Airport,Petersburg
PSP,Palm Springs International Airport,Palm Springs
PUB,Pueblo Memorial Airport,Pueblo
PVD,Theodore Francis Green State Airport,Providence
PWM,Portland International Jetport,Portland
RAP,Rapid City Regional Airport,Rapid City
RDD,Redding Municipal Airport,Redding
RDM,Redmond Municipal AirportÂ (Roberts Field),Redmond
RDU,Raleigh-Durham International Airport,Raleigh
RHI,Rhinelander-Oneida County Airport,Rhinelander
RIC,Richmond International Airport,Richmond
RKS,Rock Springs-Sweetwater County Airport,Rock Springs
RNO,Reno/Tahoe International Airport,Reno
ROA,Roanoke Regional AirportÂ (Woodrum Field),Roanoke
ROC,Greater Rochester International Airport,Rochester
ROW,Roswell International Air Center,Roswell
RST,Rochester International Airport,Rochester
RSW,Southwest Florida International Airport,Ft. Myers
SAF,Santa Fe Municipal Airport,Santa Fe
SAN,San Diego International AirportÂ (Lindbergh Field),San Diego
SAT,San Antonio International Airport,San Antonio
SAV,Savannah/Hilton Head International Airport,Savannah
SBA,Santa Barbara Municipal AirportÂ (Santa Barbara Airport),Santa Barbara
SBN,South Bend International AirportÂ (South Bend Regional),South Bend
SBP,San Luis Obispo County Regional AirportÂ (McChesney Field),San Luis Obispo
SCC,Deadhorse AirportÂ (Prudhoe Bay Airport),Deadhorse
SCE,University Park Airport,State College
SDF,Louisville International AirportÂ (Standiford Field),Louisville
SEA,Seattle-Tacoma International Airport,Seattle
SFO,San Francisco International Airport,San Francisco
SGF,Springfield-Branson National Airport,Springfield
SGU,St. George Regional Airport,St George
SHV,Shreveport Regional Airport,Shreveport
SIT,Sitka Rocky Gutierrez Airport,Sitka
SJC,Norman Y. Mineta San JosÃ© International Airport,San Jose
SJT,San Angelo Regional AirportÂ (Mathis Field),San Angelo
SJU,Luis MuÃ±oz MarÃ­n International Airport,San Juan
SLC,Salt Lake City International Airport,Salt Lake City
SMF,Sacramento International Airport,Sacramento
SMX,Santa Maria Public AirportÂ (Capt G. Allan Hancock Field),Santa Maria
SNA,John Wayne AirportÂ (Orange County Airport),Santa Ana
SPI,Abraham Lincoln Capital Airport,Springfield
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls
SRQ,Sarasota-Bradenton International Airport,Sarasota
STC,St. Cloud Regional Airport,St Cloud
STL,St. Louis International Airport at Lambert Field,St Louis
STT,Cyril E. King Airport,Charlotte Amalie
STX,Henry E. Rohlsen Airport,Christiansted
SUN,Friedman Memorial Airport,Hailey
SUX,Sioux Gateway Airport,Sioux City
SWF,Stewart International Airport,Newburgh
SYR,Syracuse Hancock International Airport,Syracuse
TLH,Tallahassee International Airport,Tallahassee
TOL,Toledo Express Airport,Toledo
TPA,Tampa International Airport,Tampa
TRI,Tri-Cities Regional Airport,Bristol
TTN,Trenton Mercer Airport,Trenton
TUL,Tulsa International Airport,Tulsa
TUS,Tucson International Airport,Tucson
TVC,Cherry Capital Airport,Traverse City
TWF,Magic Valley Regional AirportÂ (Joslin Field),Twin Falls
TXK,Texarkana Regional AirportÂ (Webb Field),Texarkana
TYR,Tyler Pounds Regional Airport,Tyler
TYS,McGhee Tyson Airport,Knoxville
UST,Northeast Florida Regional AirportÂ (St. Augustine Airport),St. Augustine
VEL,Valdez Airport,Vernal
VLD,Valdosta Regional Airport,Valdosta
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso
WRG,Wrangell Airport,Wrangell
WYS,Westerly State Airport,West Yellowstone
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers
YAK,Yakutat Airport,Yakutat
YUM,Yuma International Airport,Yuma
RFD,Greater Rockford Airport,Rockford
BLV,Scott AFB/Mid America Airport,Belleville
SCK,Stockton Airport,Stockton
SWO,Searcy Fld Airport,Stillwater
HVN,Tweed New Haven Airport,New Haven 
STS,Sonoma County Airport,Santa Rosa
IFP,Laughlin Bullhead International Airport,Bullhead City
CKB,Benedum Airport,Clarksburg
UIN,Municipal Airport,Quincy
OGD,Municipal Airport,Ogden
PVU,Provo Airport,Provo
CGI,Cape Girardeau Airport,Cape Girardeau
LYH,Preston-Glenn Field Airport,Lynchburg
BFF,Scotts Bluff County Airport,Scottsbluff
LBF,Lee Bird Field Airport,North Platte
LBL,Municipal,Liberal
FLO,Florence Airport,Florence
HTS,Tri-State/Milton Airport,Huntington
PGV,Pitt-Greenville Airport,Greenville
LWB,Greenbrier Valley Airport,Lewisburg
SLN,Salina Airport,Salina
HHH,Hilton Head Airport,Hilton Head
PRC,Prescott Airport,Prescott
EAR,Kearney Airport,Kearney
SHD,Shenandoah Valley Airport,Staunton
DRT,International Airport,Del Rio
CYS,Cheyenne Regional Airport,Cheyenne 
PSM,Pease AFB Airport,Portsmouth
ART,Watertown Airport,Watertown
